               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09954,            0.042565,            0.026093,             0.01737,            0.013089,           0.0031237,          0.00083176,             0.09423,            0.023054,             0.02397,            0.070109,           0.0033212,           0.0033212
                   1,            0.095828,            0.044493,             0.02437,           0.0023101,             0.25344,           0.0087175,           0.0014518,            0.091228,             0.02446,            0.020873,             0.03989,           0.0064349,           0.0064349
                   2,            0.093618,            0.043517,            0.019875,             0.53326,            0.062005,            0.013383,           0.0034463,            0.086398,             0.02644,            0.017501,           0.0094503,           0.0093286,           0.0093286
                   3,            0.088476,            0.044306,            0.017594,             0.53726,            0.055409,            0.020952,           0.0056343,             0.08244,            0.030104,            0.018218,             0.00901,             0.00901,             0.00901
                   4,            0.085644,            0.044604,            0.015665,            0.044537,            0.097625,            0.029978,           0.0077614,            0.081527,            0.024649,            0.014693,             0.00901,             0.00901,             0.00901
                   5,            0.082365,            0.043506,            0.015794,             0.15638,             0.12923,            0.049613,            0.013906,            0.078508,            0.024632,            0.013869,             0.00868,             0.00868,             0.00868
                   6,            0.080573,             0.04433,            0.014849,             0.12522,             0.17264,            0.052726,             0.01555,            0.078663,            0.024242,            0.012598,             0.00835,             0.00835,             0.00835
                   7,             0.07923,            0.045175,            0.013829,             0.14647,             0.17247,             0.08188,            0.025981,            0.074574,             0.02374,            0.010836,             0.00802,             0.00802,             0.00802
                   8,            0.077812,            0.044259,            0.013439,             0.20974,             0.17587,             0.11594,            0.041535,            0.072821,            0.023847,            0.010982,             0.00769,             0.00769,             0.00769
                   9,            0.077321,            0.043127,            0.012632,             0.20254,             0.19856,              0.1073,            0.037215,            0.072544,            0.023553,            0.012419,             0.00736,             0.00736,             0.00736
                  10,            0.076285,            0.044442,            0.011899,             0.22856,               0.214,             0.13564,             0.05022,             0.07127,            0.023789,            0.011988,             0.00703,             0.00703,             0.00703
                  11,            0.075272,            0.044101,            0.011798,             0.21866,             0.20127,             0.12916,            0.045286,            0.072053,            0.024412,           0.0086385,              0.0067,              0.0067,              0.0067
                  12,            0.074378,            0.043504,            0.010888,             0.28144,             0.23542,              0.1705,            0.061993,            0.069757,            0.023429,            0.010004,             0.00637,             0.00637,             0.00637
                  13,            0.073969,            0.043991,            0.010282,              0.2579,             0.22489,             0.14761,            0.051227,            0.071031,            0.024057,            0.011483,             0.00604,             0.00604,             0.00604
                  14,            0.073618,             0.04335,             0.01018,             0.31504,             0.25364,             0.17976,            0.066531,            0.069911,            0.023726,           0.0086745,             0.00571,             0.00571,             0.00571
                  15,             0.07293,            0.042276,            0.010199,             0.32341,              0.2643,             0.18974,            0.066379,            0.070245,            0.023456,            0.010769,             0.00538,             0.00538,             0.00538
                  16,            0.072441,             0.04328,           0.0096926,             0.25542,             0.24169,             0.16409,            0.058206,            0.069582,            0.023108,             0.00856,             0.00505,             0.00505,             0.00505
                  17,            0.071742,            0.043034,           0.0091065,             0.33001,             0.21938,             0.18647,            0.071416,            0.067648,            0.023989,           0.0070068,             0.00472,             0.00472,             0.00472
                  18,            0.071452,             0.04282,           0.0092209,             0.36566,             0.25476,             0.21032,            0.079792,            0.067778,            0.022888,           0.0070083,             0.00439,             0.00439,             0.00439
                  19,            0.070864,            0.042655,           0.0086414,             0.32581,             0.27709,             0.20153,            0.075826,            0.068625,            0.023591,           0.0079308,             0.00406,             0.00406,             0.00406
                  20,             0.07069,            0.041829,           0.0087044,             0.35784,              0.2548,             0.20507,            0.081103,            0.067554,            0.022457,             0.00731,             0.00373,             0.00373,             0.00373
                  21,            0.070797,            0.042991,           0.0083993,             0.32522,             0.26894,             0.22085,            0.085461,            0.067134,             0.02297,           0.0075945,              0.0034,              0.0034,              0.0034
                  22,             0.06939,             0.04224,           0.0079695,             0.40222,             0.24932,             0.21892,            0.090828,            0.066701,            0.022859,           0.0069975,             0.00307,             0.00307,             0.00307
                  23,            0.069723,            0.042939,           0.0076049,             0.41189,             0.24773,             0.24186,            0.099425,            0.067119,            0.023107,            0.006183,             0.00274,             0.00274,             0.00274
                  24,            0.069007,            0.042595,             0.00766,              0.4311,             0.27294,              0.2684,             0.10646,            0.066664,            0.022966,           0.0058213,             0.00241,             0.00241,             0.00241
                  25,            0.069229,            0.043109,           0.0074149,             0.44273,             0.24933,             0.25166,             0.10491,            0.065933,            0.022663,            0.005657,             0.00208,             0.00208,             0.00208
                  26,            0.068765,            0.041603,             0.00776,              0.3686,             0.24175,              0.2426,            0.094789,            0.066516,             0.02248,           0.0059707,             0.00175,             0.00175,             0.00175
                  27,            0.068775,            0.042076,           0.0064634,             0.44233,             0.26525,             0.27177,             0.10992,            0.066068,            0.022242,           0.0072302,             0.00142,             0.00142,             0.00142
                  28,            0.068687,            0.042659,           0.0067938,             0.47598,               0.289,             0.28169,             0.11732,            0.065517,            0.022364,           0.0057237,             0.00109,             0.00109,             0.00109
                  29,            0.068157,            0.042593,           0.0066364,             0.46557,             0.28738,             0.29171,             0.12362,            0.065573,             0.02203,           0.0062511,             0.00076,             0.00076,             0.00076
